calss,Category,Tweet
4,Personal Attacks/Harassment,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"
4,Personal Attacks/Harassment,""" her pussy lips like Heaven doors "" &#128524;"
4,Personal Attacks/Harassment,""" hoe what its hitting for """
4,Personal Attacks/Harassment,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"
4,Personal Attacks/Harassment,""" i need a trippy bitch who fuck on Hennessy """
4,Personal Attacks/Harassment,""" i spend my money how i want bitch its my business """
4,Personal Attacks/Harassment,""" i txt my old bitch my new bitch pussy wetter """
4,Personal Attacks/Harassment,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
4,Personal Attacks/Harassment,""" if you aint bout that Murder Game pussy nigga shut up """
4,Personal Attacks/Harassment,""" if you're toes ain't done you pussy stinks """
4,Personal Attacks/Harassment,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
4,Personal Attacks/Harassment,""" is that ya bitch """
4,Personal Attacks/Harassment,""" it aint nothing to cut a bitch off """
4,Personal Attacks/Harassment,""" jus meet son now he ya mane ass bitches "" #Shots"
4,Personal Attacks/Harassment,""" lames crying over hoes thats tears of a clown """
4,Personal Attacks/Harassment,""" like Snoop said in 94 we dont love these hoes """
4,Personal Attacks/Harassment,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC"
4,Personal Attacks/Harassment,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U"
4,Personal Attacks/Harassment,""" pimps up pimps up hoes down "" Future voice"
4,Personal Attacks/Harassment,""" post a picture of that pussy get 200 likes """
4,Personal Attacks/Harassment,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b"
4,Personal Attacks/Harassment,""" quick piece of pussy call it a drive by """
4,Personal Attacks/Harassment,""" running round here like some brand new pussy thats bout to get fucked """
4,Personal Attacks/Harassment,""" these bitches even worst they'll send them guys for you """
4,Personal Attacks/Harassment,""" these hoes like niggas that spend money not talk bout it """
4,Personal Attacks/Harassment,""" we dont trust these niggas all these bitches """
4,Personal Attacks/Harassment,""" yall niggas b cuffing hoes cause yall aint never have bitches """
4,Personal Attacks/Harassment,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;"
4,Personal Attacks/Harassment,""" young Pill Chamberlain these bitches love my music """
4,Personal Attacks/Harassment,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but........."""
4,Personal Attacks/Harassment,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight"""
4,Personal Attacks/Harassment,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it"""
4,Personal Attacks/Harassment,"""&amp; he's gone always be a hoe"""
4,Personal Attacks/Harassment,"""...Son of a bitch took my Tic Tacs.""

I like this movie."
4,Personal Attacks/Harassment,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
4,Personal Attacks/Harassment,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet"
4,Personal Attacks/Harassment,"""@A7XDemery: I'm a fucking fag they said"""
4,Personal Attacks/Harassment,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?"
4,Personal Attacks/Harassment,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
4,Personal Attacks/Harassment,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!"
4,Personal Attacks/Harassment,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S"
4,Personal Attacks/Harassment,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
4,Personal Attacks/Harassment,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch"
4,Personal Attacks/Harassment,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
4,Personal Attacks/Harassment,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
4,Personal Attacks/Harassment,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn"
4,Personal Attacks/Harassment,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol"
4,Personal Attacks/Harassment,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"
4,Personal Attacks/Harassment,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol"
4,Personal Attacks/Harassment,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
4,Personal Attacks/Harassment,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples"
4,Personal Attacks/Harassment,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."
4,Personal Attacks/Harassment,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof"
4,Personal Attacks/Harassment,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe"
4,Personal Attacks/Harassment,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
4,Personal Attacks/Harassment,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol"
4,Personal Attacks/Harassment,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE"
4,Personal Attacks/Harassment,"""@CASHandBOOBIES: I been kidnapped yo bitch"""
4,Personal Attacks/Harassment,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo"
4,Personal Attacks/Harassment,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!"
4,Personal Attacks/Harassment,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"
4,Personal Attacks/Harassment,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
4,Personal Attacks/Harassment,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"
4,Personal Attacks/Harassment,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it."""
4,Personal Attacks/Harassment,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old"
4,Personal Attacks/Harassment,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard"
4,Personal Attacks/Harassment,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"
4,Personal Attacks/Harassment,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy"
4,Personal Attacks/Harassment,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh"
4,Personal Attacks/Harassment,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz"
4,Personal Attacks/Harassment,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"
4,Personal Attacks/Harassment,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds."""
4,Personal Attacks/Harassment,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
4,Personal Attacks/Harassment,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;"""
4,Personal Attacks/Harassment,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;"
4,Personal Attacks/Harassment,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands"
4,Personal Attacks/Harassment,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
4,Personal Attacks/Harassment,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow"
4,Personal Attacks/Harassment,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows"
4,Personal Attacks/Harassment,"""@Dietrich1892: Yall shut up:p"" make me bitch"
4,Personal Attacks/Harassment,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch."""
4,Personal Attacks/Harassment,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3"
4,Personal Attacks/Harassment,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu.."""
4,Personal Attacks/Harassment,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
4,Personal Attacks/Harassment,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol"
4,Personal Attacks/Harassment,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot"
4,Personal Attacks/Harassment,"""@G27Status: I could go for a fat ass bitch on my lap"" same"
4,Personal Attacks/Harassment,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"
4,Personal Attacks/Harassment,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;"
4,Personal Attacks/Harassment,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah"
4,Personal Attacks/Harassment,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh"
4,Personal Attacks/Harassment,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;"
4,Personal Attacks/Harassment,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
4,Personal Attacks/Harassment,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck"
4,Personal Attacks/Harassment,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao"
4,Personal Attacks/Harassment,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;"""
4,Personal Attacks/Harassment,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!"
4,Personal Attacks/Harassment,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up"""
4,Personal Attacks/Harassment,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;"""
4,Personal Attacks/Harassment,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"
4,Personal Attacks/Harassment,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""
4,Personal Attacks/Harassment,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
4,Personal Attacks/Harassment,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu"
4,Personal Attacks/Harassment,"""@HoskinsTy96: White boy power bitch"" black power bitch"
4,Personal Attacks/Harassment,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill."
4,Personal Attacks/Harassment,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?"
4,Personal Attacks/Harassment,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *"
4,Personal Attacks/Harassment,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot."""
4,Personal Attacks/Harassment,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe"
4,Personal Attacks/Harassment,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do"
4,Personal Attacks/Harassment,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy"
4,Personal Attacks/Harassment,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3"
4,Personal Attacks/Harassment,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH"
4,Personal Attacks/Harassment,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
4,Personal Attacks/Harassment,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
4,Personal Attacks/Harassment,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch"""
4,Personal Attacks/Harassment,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!"
4,Personal Attacks/Harassment,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"
4,Personal Attacks/Harassment,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!"
4,Personal Attacks/Harassment,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me."
4,Personal Attacks/Harassment,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY"
4,Personal Attacks/Harassment,"""@KissMySmilee: Don't got time for bitches to be actin iffy."""
4,Personal Attacks/Harassment,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them"
4,Personal Attacks/Harassment,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!"
4,Personal Attacks/Harassment,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;"
4,Personal Attacks/Harassment,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;"
4,Personal Attacks/Harassment,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"""
4,Personal Attacks/Harassment,"""@Latrobemark: You love these hoes more then money wats wrong these niggas"""
4,Personal Attacks/Harassment,"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol"
4,Personal Attacks/Harassment,"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !"
4,Personal Attacks/Harassment,"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen."
4,Personal Attacks/Harassment,"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho"
4,Personal Attacks/Harassment,"""@Lil_Mike_12: Fuck twerking bitch can you cook ?"""
4,Personal Attacks/Harassment,"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB"
4,Personal Attacks/Harassment,"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now"
4,Personal Attacks/Harassment,"""@LolaaIsDope: Lmao fucking snake bitches"" @ em"
4,Personal Attacks/Harassment,"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;"
4,Personal Attacks/Harassment,"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT"
4,Personal Attacks/Harassment,"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo"
4,Personal Attacks/Harassment,"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent"
4,Personal Attacks/Harassment,"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel"
4,Personal Attacks/Harassment,"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch"
4,Personal Attacks/Harassment,"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"
4,Personal Attacks/Harassment,"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!"
4,Personal Attacks/Harassment,"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*"
4,Personal Attacks/Harassment,"""@Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody."
4,Personal Attacks/Harassment,"""@MvckFadden: ""Stay beautiful you bitch"""""
4,Personal Attacks/Harassment,"""@NICKIMINAJ: #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls"
4,Personal Attacks/Harassment,"""@NastyCopper: Money getting taller and bitches getting blurry"""
4,Personal Attacks/Harassment,"""@NewsomeJade: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;"
4,Personal Attacks/Harassment,"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh."
4,Personal Attacks/Harassment,"""@No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol"
4,Personal Attacks/Harassment,"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!"
4,Personal Attacks/Harassment,"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK"""
4,Personal Attacks/Harassment,"""@PRETTyBOSs_BRAt: We don't love these hoes &#128080;&#128581;"""
4,Personal Attacks/Harassment,"""@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!"""
4,Personal Attacks/Harassment,"""@Patsfanjoe32: @d_palomino52 I think worst advice I gave you was "" don't be a pussy and speed up"" lol"""
4,Personal Attacks/Harassment,"""@PoemsPorn: Quote this tweet with your favorite animal.""pussy"
4,Personal Attacks/Harassment,"""@Poetic_Success: I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"""
4,Personal Attacks/Harassment,"""@Poffalicious: Andrewbryant: Poff has double vision after 2 beers
Poff: ... Double pussy &#128526;"" smh"
4,Personal Attacks/Harassment,"""@Poobie_: When bitches TWERK on the computer....

ME: ""In ya &#128089;, in ya damn &#128089;&#8252;&#65039;"""""
4,Personal Attacks/Harassment,"""@ProdsJewel_: &#8220;@sreadthepeace: &#8220;@yungmindless: @PeacePunkPrince Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!"
4,Personal Attacks/Harassment,"""@QUAN1T0: These bitches don't care they just play that role."""
4,Personal Attacks/Harassment,"""@Queen_Kaaat: It took a while for you to find me, but I was hiding In the lime tree.""
@Iemonaids dis bitch in da wrong tree bro."
4,Personal Attacks/Harassment,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"
4,Personal Attacks/Harassment,"""@RenegadeMo: Fat hoes get chose"" lol"
4,Personal Attacks/Harassment,"""@RiahSM: #hoesaintloyal"" well they're hoes,no one expects them to be loyal"
4,Personal Attacks/Harassment,"""@RishaaWilliams: @TRESHON_SCROOGE @_Nevertrustt ol bitch ass"" http://t.co/AmcOinY0wG"
4,Personal Attacks/Harassment,"""@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo"
4,Personal Attacks/Harassment,"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you"
4,Personal Attacks/Harassment,"""@SamJLayman : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*"
4,Personal Attacks/Harassment,"""@Samirahusic_: ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"
4,Personal Attacks/Harassment,"""@SexualGxfs: @ One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT"" @ somebody, bitch if you don't"
4,Personal Attacks/Harassment,"""@Shaa_Jenkins: If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!"
4,Personal Attacks/Harassment,"""@ShanTaughtHer: These catfish hoes thinkin they slick.. But niggas catching on &#128524;"""
4,Personal Attacks/Harassment,"""@SheWentToJordan: Can't worry about a bitch that ain't worried bout me"" #real"
4,Personal Attacks/Harassment,"""@ShowArrive: Side hoes are for insecure niggas that can't handle a real one."""
4,Personal Attacks/Harassment,"""@Shun_stokes: &#128514;&#128514;&#128514;&#128514;RT @bluprint_4: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;"
4,Personal Attacks/Harassment,"""@Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;"""
4,Personal Attacks/Harassment,"""@SlimGirl_Probz: i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;"
4,Personal Attacks/Harassment,"""@SmeegBaby: Dese hoes be LYIN to all of us nigga"""
4,Personal Attacks/Harassment,"""@SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch"
4,Personal Attacks/Harassment,"""@StellaTex: Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy"
4,Personal Attacks/Harassment,"""@Strap__: I ain't sharing no bitch if you mines you mines &#128175;"""
4,Personal Attacks/Harassment,"""@SukMySweetness: money only impress the simple broke bitches"""
4,Personal Attacks/Harassment,"""@Sylvieamx: #Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht"
4,Personal Attacks/Harassment,"""@TayKnosBest: These hoes is crazy"""
4,Personal Attacks/Harassment,"""@Taylorr_Babee: You ain't ever gonna be a slice bitch."" Kevin hart. (:"
4,Personal Attacks/Harassment,"""@ThatniggaTroy: Oomf so fuckin fine tho &#128553; dam"" @ her, don't be no bitch."
4,Personal Attacks/Harassment,"""@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags"
4,Personal Attacks/Harassment,"""@TheNewSAT: #NewSATQuestions
Yeah bitch, yeah bitch, call me _______:
a.) Maybe
b.) Steve-O
c.) Later
d.) Jesse Pinkman""
@machinegunkelly"
4,Personal Attacks/Harassment,"""@TheNymphoTweets: Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right"
4,Personal Attacks/Harassment,"""@TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."
4,Personal Attacks/Harassment,"""@TheRealRickyB21: @JetsAndASwisher @Gook____ y'all come through the front.""bitch I ain't coming"
4,Personal Attacks/Harassment,"""@TheRealRickyB21: @JetsAndASwisher faggot bitch"" http://t.co/2HyyAbk4eH"
4,Personal Attacks/Harassment,"""@The_Realist_Sam: @Madrid2_ yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up @TropicalBlanket""i work 2-5"
4,Personal Attacks/Harassment,"""@TheoMaxximus: Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* http://t.co/nb5VgdssgI"
4,Personal Attacks/Harassment,"""@Thornton25: &#8220;@KantKeepAhBYTCH: I love eating pussy lol I never get full lol&#8221; I can eat that shit forever lol"" and ever."
4,Personal Attacks/Harassment,"""@Tmacc_GFG: &#8220;@VoiceOfDStreetz: ""@Tmacc_GFG: &#8220;@tizzimarie: No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;&#8221;them hoes taste like meds""&#127815;&#127815;&#127868;"
4,Personal Attacks/Harassment,"""@Tmacc_GFG: &#8220;@tizzimarie: No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;"
4,Personal Attacks/Harassment,"""@Tmacc_GFG: BOBBY BITCH-by @BobbyShmurdaGS9 be getting me live as fuck"" hell yea i play that hoe before my workout"
